lambda,final_result,solve_time_ms,decisions,propagations,conflicts,backtracks,learned_clauses,pearson_all,pearson_active
0.0,sat,0.396042,606,1707,32,32,32,0.3013881812689753,0.410522772034102
0.25,sat,0.487208,822,2180,38,38,38,0.391731009711851,0.48249298974395977
0.5,sat,0.476583,741,1968,35,35,35,0.37166909394501235,0.47481641424418364
0.75,sat,0.444833,780,2064,34,34,34,0.3189562410415495,0.5373204714414569
1.0,sat,0.497042,830,2187,39,39,39,0.3961576930562533,0.4880379619566875
1.25,sat,0.492625,829,2187,39,39,39,0.4093862719974503,0.5132634817186843
1.5,sat,0.45225,782,2074,34,34,34,0.3569492938975684,0.6231310707917428
1.75,sat,0.475833,892,2362,36,36,36,0.40621272003438674,0.7077679432929999
2.0,sat,0.48025,891,2363,36,36,36,0.4146041176286295,0.7226362977554929
2.25,sat,0.476917,891,2363,36,36,36,0.4218871462444799,0.7350432766150448
2.5,sat,0.500208,901,2363,36,36,36,0.44196733911951624,0.769159052227825
2.75,sat,0.495708,902,2365,36,36,36,0.44754061135412493,0.777110315559412
3.0,sat,0.603667,902,2365,36,36,36,0.452431135626177,0.7838827996272189
10.0,sat,0.468125,902,2365,36,36,36,0.49564151184910166,0.8374297261083772
50.0,sat,0.392542,612,1596,33,33,33,0.4655516351556008,0.7819602125343272
